,tweets,cleaned_tweets
1264,"Join us for the webinar presentation of the study “Climate change. Scientific bases and questions for debate"" tomorrow. @EITeu @ClimateKIC CEO @KirstenCKIC, wrote a chapter &amp; will be speaking around 16:35 CEST. Register now! https://t.co/DKQBS5oRB3

@NaturgyFnd @La_UPM @Harvard",join webinar studi climat scientif base question debat tomorrow ceo wrote chapter speak cest regist
1265,"LISTEN: Professor Mark Jordan sits down w/ @HarvardDivinity student @JordanV_MDiv to discuss how students have contributed to chronicling LGBTQ+ history at @Harvard and what questions we might be leaving out of the LGBTQ+ narrative. #LGBTHistoryMonth

https://t.co/9T6jwc9vSk",listen professor mark jordan sit student discuss student contribut chronicl lgbtq histori question leav lgbtq narrat lgbthistorymonth
1266,Harvard study: Flying has lower #COVID19 risk than grocery shopping or eating out https://t.co/AfRe8AH46B via @BostonDotCom &gt; #bospoli #mapoli #publichealth #airtravel #coronavirus #inequality #pandemic @CDCgov,studi fli lower risk groceri shop eat bospoli mapoli publichealth airtravel coronavirus inequ pandem
1267,@coolmustangkid You rock! HERE I GO AGAIN by #WHITESNAKEBLOG is playing next on 104.9 The Wolf! Listen &amp; Vote 4 More: https://t.co/FYf6VMUgeB   Powered by Harvard Western Insurance,rock whitesnakeblog play wolf listen vote power western insur
1268,@coolmustangkid Stop what you're doing and listen to 104.9 The Wolf! PANIC ATTACK by GLORIOUS SONS is about to play! https://t.co/FYf6VMUgeB  Powered by Harvard Western Insurance,listen wolf panic attack glorious son play power western insur
1269,@coolmustangkid You rock! SHINE A LITTLE LIGHT by #THEBLACKKEYS is playing next on 104.9 The Wolf! Listen &amp; Vote 4 More: https://t.co/FYf6VMUgeB   Powered by Harvard Western Insurance,rock shine light theblackkey play wolf listen vote power western insur
1270,@coolmustangkid Stop what you're doing and listen to 104.9 The Wolf! READY TO LET GO by #CAGETHEELEPHANT is about to play! https://t.co/FYf6VMUgeB  Powered by Harvard Western Insurance,listen wolf readi cagetheeleph play power western insur
1271,"Dear @Harvard, this ASSOCIATE PROFESSOR of yours is deliberately participating in dissemination of fake news by suggesting that Pakistan has proudly owned Pulawama attack, when minister in video is clearly referring to how Pakistan handled post-Pulwama tensions with India. https://t.co/EaAdlpoZlU",dear professor deliber particip dissemin fake news pakistan pulawama attack minist video refer pakistan handl post pulwama tension india
1272,"@Goharhasan tag @Harvard . We have to wonder what ""journalism"" she teaches her students there.",tag journal teach student
1273,"@ShubhamShandil1 @Harvard There is something called context. But since that is an alien concept for most Indian let me refer to video itself. ""Pulwama ke waqiye ke baad, jis tareeke se hum ne ghus ke mara hai"".

He was clearly referring to PAF airstrikes near Indian base.",context alien concept indian refer video pulwama waqiy baad jis tareek hum ghus mara hai refer paf airstrik indian base
1274,"Im wondering, among all the talk about fake news, what is policy of @Harvard regarding their faculty members who participate in spreading of fake news?",talk fake news polici faculti member particip spread fake news
1275,@amarbangash @Harvard Exactly.,
1276,"Happy #NationalCatDay! As we come up on Daylight Savings Time in the U.S., it seems fitting to highlight a #sundial from our collection. Using a sundial seems like a more attractive way to tell time, without the need to reset the clocks twice a year!  https://t.co/ctoMUQCAtl https://t.co/MpBuq8XdBk",happi nationalcatday daylight save time fit highlight sundial collect sundial attract time reset clock year
1277,"Happy #AnimationDay! We are celebrating the #zoetrope, which used animation to explore visual perception. This zoetrope from the collections was created by Max Kohl in 1875, and features a reversible “movie strip” depicting “Magic Ocean” &amp; “Chewing Gum.” https://t.co/3JYZlIBgdU https://t.co/FMyIH6CDX1",happi animationday celebr zoetrop anim explor visual percept zoetrop collect creat max kohl featur revers movi strip depict magic ocean chew gum
1278,"@AIMEEPATERSON It’s a meditation app I’ve been using. Also, it’s an app that Harvard offers to all of its employees and students for free.",medit app app offer employe student free
1279,"COVID-19 risk on airplanes is low if these precautions are taken, Harvard study says https://t.co/oJvbZrdBTc via @phillyinquirer",risk airplan low precaut studi
1280,"Yup we're doomed @elonmusk 

Indentured servitude to The Singularity it is then 

I mean Harvard and ethics? ... didn't they produce Mark Zuckerberg? https://t.co/N8Vk3NGsCi https://t.co/zTicWEP1EQ",yup doom indentur servitud singular ethic produc mark zuckerberg
1281,"@chelseastieber @PhDJesus Is it bad that the first thing I do is check the publisher and then try and remember if/when they have big sales?

""Awww Harvard! They never have sales! Why couldn't it be Duke??""",bad thing check publish rememb big sale awww sale duke
1282,"@ericsslater @Yamiche @PressSec She isn't dumb by any means. I think she graduated from Harvard, not sure. She is just parroting the things her boss tells her too, which involves LOTS of lying. Lots and lots and lots of lying. But it's not for lack of intellect, more a lack of morals to agree to this job.",dumb graduat parrot thing boss involv lot lie lot lot lot lie lack intellect lack moral agre job
1283,"Arizona Congressman Compares His Grueling Harvard Admission Story To Jared Kushner's https://t.co/5vuRz5Cdrb via @Yahoo

Every time he opens his mouth bullshit falls out. Gang of white collar criminals",arizona congressman compar gruel admiss stori jare kushner time open mouth bullshit fall gang white collar crimin
1284,"Massimiano Bucchi, ""The Saints of Science?: Bodies, Ceremonies and the Public Image of the Nobel Prize""
Takuji Okamoto, ""Nominating Bridgman for the Nobel Prize: The Motives and Strategy of the Harvard Scientists""",massimiano bucchi saint scienc bodi ceremoni public imag nobel prize takuji okamoto nomin bridgman nobel prize motiv strategi scientist
1285,@dandencan @JohnAvlon @MichaelRWarren @realDonaldTrump @RonDeSantisFL Based on deaths per capita you need to be voting Republican. https://t.co/GYuLGdAnaZ,base death capita vote republican
1286,"@planetnat @JohnAvlon @MichaelRWarren I guess based on the data on deaths, you will be voting out Democrats.
https://t.co/GYuLGdAnaZ",guess base data death vote democrat
1287,"@HappilyFulton16 @JohnAvlon @MichaelRWarren Think about how sad it is for the citizens of New York, especially based on deaths per capita.
https://t.co/GYuLGdAnaZ",sad citizen york base death capita
1288,@Mambaa_goat24 And that’s bad policing. I want you to look at this. A Harvard study that concluded there was no racial difference when police used deadly force. https://t.co/Wv5ChYt1zo,bad polic studi conclud racial polic dead forc
1289,"NOTICE: This morning's press conference has been moved indoors due to weather

WHERE: Fellowship Congregational Church, 2900 S. Harvard Ave, Tulsa OK

WHEN: TODAY, October 29th at 10am CT

WHO: Tulsa Faith Leaders will read a joint statement in Support of #SQ805 https://t.co/2E1tZn8cvB",notic morn press confer indoor weather fellowship congreg church ave tulsa today octob tulsa faith leader read joint statement support
1290,@xximbecile @bitxt PhD Pendidikan Las Harvard Business School,phd pendidikan las hbs busi
1291,Accident in #Tulsa on Broken Arrow Expressway/US-64/SH-51 EB west of S. Harvard Ave. #traffic https://t.co/aSW1zAFDFs,accid tulsa broken arrow west ave traffic
1292,"Prenons l’avion ... quand on pourra !!!!
Flying can be safer than grocery shopping, Harvard Covid-19 study finds https://t.co/ruNJyRbn3L",prenon avion quand pourra fli safer groceri shop studi
1293,Panelists Advocate for Psychedelics Decriminalization in Law School Webinar | News - Harvard Crimson   🧪 #psilocybin #potstocks #psychedelics https://t.co/HTUjEfobG8,panelist advoc psychedel decrimin law school webinar news crimson psilocybin potstock psychedel
1294,@ENBrown I have a friend who is a Harvard alum with a double digit Facebook user id,friend alum doubl digit facebook user
1295,Bennett is the Harvard JPJ so maybe Tayshia falls for Bennett! #TheBachelorette,bennett jpj tayshia fall bennett thebachelorett
1296,Harvard Study: Flying Offers Lower Risk of COVID-19 Than Grocery Shopping https://t.co/2lVENOUre4,studi fli offer lower risk groceri shop
1297,@Frenzy_Tweets shush ✊✋👊🎉 this is twitter not harvard,shush twitter
1298,i can’t wait till it’s revealed that bella poarch is a harvard experiment,wait till reveal bella poarch experi
1299,@MidwinCharles For sure. @Harvard is no doubt trying to engage them as I tweet this 🙄,doubt engag tweet
1300,"JIMSKalkaji takes pride in announcing the first of its kind tie-up in Delhi with Harvard Business School Online to offer certified courses in cutting edge areas toJIMS Students, Alumni &amp;Corporate Mentors.#JIMSHarvardTieUp #JIMSKJ #HBSOnline #Industry #JIMSAlumni #PGDM #topbschool https://t.co/jSPfI0UFyN",jimskalkaji pride kind tie delhi hbs busi onlin offer certifi cut edg area tojim student alumni corpor mentor jimstieup jimskj hbsonlin industri jimsalumni pgdm topbschool
1301,"JIMS Kalkaji  takes pride in announcing the first of its kind tie-up in Delhi with Harvard Business School Online to offer certified courses in cutting edge areas in Industry to JIMS Students, Alumni &amp; Corporate Mentors.
#JIMSHarvardTieUp #JIMS  #JIMSKJ #HBSOnline  #Business https://t.co/DcgltWMFfu",jim kalkaji pride kind tie delhi hbs busi onlin offer certifi cut edg area industri jim student alumni corpor mentor jimstieup jim jimskj hbsonlin busi
1302,Arizona Congressman Compares His Grueling Harvard Admission Story To Jared Kushner's https://t.co/lVuAUqj8bI via @Yahoo,arizona congressman compar gruel admiss stori jare kushner
1303,"Anonymity doesn’t mean one can lie about gender.
😀

If I don’t want to talk about my occupation or Alumni, it’s ok, it’s my choice, but If I am claiming I am a Harvard graduate, its different.
 
One shouldn’t ignore the extremely sexually deprived society we are living..........",anonym lie gender talk occup alumni choic claim graduat extrem sexual depriv societi live
1304,"U so called journalist need to learn urdu so u can understand wht he wants to say, or at least watch PK movie, words hv many understandings. Harvard professor my foot. U lynching nation. @Nidhi https://t.co/yputthT3Zo",journalist learn urdu understand wht watch movi understand professor foot lynch nation
1305,"Flying can be safer than grocery shopping, Harvard study asserts  https://t.co/YNFQHYZDjh",fli safer groceri shop studi assert
1306,"Spent an afternoon reminiscing with the famous Mark Blankfield (James The Actor, reppin' @Harvard) about #SavedByTheBell. He pulled out a favorite line for me, from 'The SATs' Episode. @dashiell @MPG @ElizBerkley @francobario @TraceyWigfield @peacockTV #SBTB https://t.co/DBchs2y8pL",spent afternoon reminisc famous mark blankfield jame actor reppin savedbythebel pull favorit sat episod sbtb
1307,"@OliviaMesser Makes you think who paid for this study? And is it even true???

https://t.co/mffCmi7TJO",paid studi true
1308,"”At the close of Fiscal Year 2019, Harvard’s endowment was valued at $40.9 billion, the largest sum in its history.”

Education doesn't always need government.  https://t.co/ntITLzvW8X",close fiscal year endow billion largest sum histori educ govern
1309,@PearlThusi Do you think these old crooks want you to be educated? They send thier kids to harvard for goodness sake lol,crook educ send thier kid good sake lol
1310,Harvard also tells me I still have to read 400+ pages a week and do written homework during a pandemic/societal collapse. Don’t listen to them lmfao https://t.co/234uFg7tdX,read week written homework pandem societ collaps listen lmfao
1311,@RezGardi @Harvard_Law You’re great!,great
1312,"'Flying is less risky than going to the grocery store or eating out when it comes to catching COVID-19, according to a Harvard study released Tuesday.'
https://t.co/XclLBmlBQn",fli riski groceri store eat catch studi releas tuesday
1313,"You can practice #mindfulness #meditation in so many places! 

https://t.co/KOF2x7liyr",practic mind medit
1314,"What’s next for Silicon Valley? Over the last 20 years, Silicon Valley has benefited from a once-in-a-lifetime alignment 🛣️of advantages.

That might not be true for much longer ⌛, however according to Maëlle Gavet from the Harvard Business Review. 

Tre…https://t.co/usBqPYpr1z",silicon valley year silicon valley benefit lifetim align advantag true longer maell gavet busi review tre
1315,💛🖤💛🖤💛 @Harvard deal with it https://t.co/QpotGQ9yMi,deal
1316,"Raquel Eidelman Cohen, last of Harvard Medical School’s first women graduates, dies at 98 https://t.co/MaGOaaVOTK via @BostonGlobe",raquel eidelman cohen hms medic women graduat die
1317,@loonizpink here comes the Harvard graduates https://t.co/ZaNndU5pL2,graduat
1318,"harvard road trip, ny ep, and the dance marathon one https://t.co/cmpvQqXQsF",road trip danc marathon
1319,"Check out the blog for tips and insight into the application process, including in our ""Real Talk"" series. 

https://t.co/n09Rodj23H",check blog insight applic process includ real talk seri
1320,"And the fact that there is already of a gif of the reaction of a social democrat politician (who is also a Harvard-trained epidemiologist) in reaction to the hecklers, speaks for itself 
https://t.co/sdMx7mB0Wx",fact gif reaction social democrat politician train epidemiologist reaction heckler speak
1321,Harvard study: Flying has lower COVID-19 risk than grocery shopping or eating out https://t.co/3Uaceyavko via @BostonDotCom,studi fli lower risk groceri shop eat
1322,@edward_mills I need this! I’m currently changing everything from Harvard to MHLA and I hate it!!,mhla hate
1323,The Harvard Moves virtual 5K is a great way to get moving and get involved with the @Harvard community! #WellnessWednesday https://t.co/J0ElYfEJ8U,virtual great involv communiti wellnesswednesday
1324,Check out this Positive Psychology Course from Harvard Health! #ThrivingThursday https://t.co/ggkdv1mBtL,check posit psycholog health thrivingthursday
1325,"Dr. Scott Atlas demolishes Joe Biden's COVID lockdown claim https://t.co/qq1cY8rpr1 'NOBODY!' Ummm ... tell that to the 11,000+ (so far) epidemiologists and ID scientists from Harvard, Stanford, Oxford etc. who aligned with this. Boy, those Flat Earthers sure don't give up,""",scott atlas demolish joe biden covid lockdown claim ummm epidemiologist scientist stanford oxford align boy flat earther
1326,"Dr. Scott Atlas demolishes Joe Biden's COVID lockdown claim https://t.co/yYVfHkUx0i 'NOBODY!' Ummm ... tell that to the 11,000+ (so far) epidemiologists and ID scientists from Harvard, Stanford, Oxford etc. who aligned with this. Boy, those Flat Earthers sure don't give up,""",scott atlas demolish joe biden covid lockdown claim ummm epidemiologist scientist stanford oxford align boy flat earther
1327,"Happy #NationalCatDay! For our Extraordinary Things series we explored cats of all shapes and sizes. https://t.co/h2jQujkL6g. The #bobcat, known by the scientific name Lynx rufus, is the most abundant wild cat in the United States. Learn more about them: https://t.co/XlHQhgtbG3 https://t.co/Nx76uoHwe4",happi nationalcatday extraordinari thing seri explor cat shape size bobcat scientif lynx rufus abund wild cat unit state learn
1328,"Dr. Scott Atlas demolishes Joe Biden's COVID lockdown claim https://t.co/iagogeapRJ 'NOBODY!' Ummm ... tell that to the 11,000+ (so far) epidemiologists and ID scientists from Harvard, Stanford, Oxford etc. who aligned with this. Boy, those Flat Earthers sure don't give up,""",scott atlas demolish joe biden covid lockdown claim ummm epidemiologist scientist stanford oxford align boy flat earther
1329,Harvard study: Flying has lower COVID-19 risk than grocery shopping or eating out https://t.co/2vfHhCLDml via @BostonDotCom,studi fli lower risk groceri shop eat
1330,"Professor Vincent Yao and colleagues' recent paper exploring the dark side of #fintech consumer lending has been featured in 'Working Knowledge' from the Harvard Business School.

Congratulations Prof. Yao!

https://t.co/KmtLEfhkLO",professor vincent yao colleagu paper explor dark fintech consum lend featur work knowledg hbs busi congratul prof yao
1331,"@TuckerCarlson I have the winning Powerball ticket, The Winning Publisher Ckearinghouse ticket, I also was granted land rights to MT Shasta and A full scholarship to Harvard!!
But shit, I lost all the paperwork, we still cool tho, right?!?!?",win powerbal ticket win publish ckearinghous ticket grant land shasta scholarship shit lost paperwork cool tho
1332,@realDonaldTrump This guy has more common sense than liberal professional outrage actors with Harvard degrees 😂🤣🤣,guy common sens liber profession outrag actor degre
1333,@Ariidunnu Let’s be guided abeg. Magna Cum Laude in Economics from THE Harvard University and Ph.D in regional economics from THE Massachusetts Institute of Technology. She helped Nigeria erase $30bn in international debt and served as Minister of Finance twice as well https://t.co/rE7Djb2JKd,guid abeg magna cum laud econom region econom massachusett institut technolog nigeria eras intern debt serv minist financ
1334,The store was jammed before the sale could start. The fin was sharp and cut the clear water. Next Sunday is the twelfth of the month.,store jam sale start fin sharp cut water sunday twelfth month
1335,The beauty of the view stunned the young boy. The wide road shimmered in the hot sun.,beauti view stun young boy road shimmer hot sun
1336,A pink shell was found on the sandy beach. A force equal to that would move the earth. Much of the story makes good sense.,pink shell sandi beach forc equal earth stori good sens
1337,A king ruled the state in the early days. Add the sum to the product of these three.,king rule state earli day add sum product
1338,The red paper brightened the dim stage. Place a rosebush near the porch steps.,red paper brighten dim stage rosebush porch step
1339,Help the weak to preserve their strength. The pods of peas ferment in bare fields. Grape juice and water mix well.,weak preserv strength pod pea ferment bare field grape juic water mix
1340,Why am I so stiff in the morning? https://t.co/rMl3Te2Sm6,stiff morn
1341,Remove Dershowitz from Harvard and protect the students!!! #ExposeDershowitz @zjcat7 @nunya33369999 @JoyCannabis @AZeglicki https://t.co/PxWwaoHsFR,remov dershowitz protect student exposedershowitz
1342,"@nunya33369999 @JoyCannabis @mortis_j @GovApprvedPedos @colorplace @Momzilla_MTL @Julie76983198 @zjcat7 @JohnnyVedmore @NonsenseEnd @tinkeringhalo10 @AZeglicki @ContentedIndie @xeni @trebillion @Agenthades1 @BugOreo @jebrittan2 @VictoriaHagstr2 @dearsarah @soychicka @Cukullen @benp7777 @Britain_People @woodfireQ @angelgirlfaith @SolomonKingCali @ACES13KF @CarolineSUSPEN @jackcharlt @Traci98736999 @007Jaleel @jamiedlux @jzikah @VampVikki @Antisillypirate @out_ofSilence @DrAmyCarson @Jessicaslawnow @DoaaElRashidy @RowanCMillar @sdscrammy @shaunattwood @elon @ArtisticBlower It reverses itself stating Greenberg’s son was not being tutored by Epstein. As it turns out Ted Greenberg did transfer out of Dalton at some point, and 
graduated from a school in Riverdale before going on to attend Harvard. However, that very well could have been after being",revers state greenberg son tutor epstein turn ted greenberg transfer dalton point graduat school riverdal attend
1343,"Based on this Harvard Business Review, data shows that the typical #DiversityTraining program not only fail to promote diversity, but also leads to declines in #ManagementDiversity. https://t.co/OxEyNpG0LV",base busi review data typic diversitytrain program fail promot divers lead declin managementdivers
1344,"This is a powerful article from Harvard Business Review about being a better #Ally! If you want to help but you don't know how to do it, these evidence-based tactics will help you! #Allyship https://t.co/tL5W2XTE0W",power articl busi review alli evid base tactic allyship
1345,"We're thrilled to officially announce our Class of 2024 and report they are doing very well in their first semester at Harvard!

Read more about the class and be sure to follow along all day as we share why they chose Harvard!

Release: https://t.co/Ci8MNISHmF https://t.co/zSYcjIMzMn",thrill offici class report semest read class day share chose releas
1346,"Why are you tweeting against Pakistan?
(Hawala Transactions have become difficult to operate in Harvard?) https://t.co/KPLItVzzlC",tweet pakistan hawala transact difficult oper
1347,"@tribelaw WHERE HAVE YOU BEEN? AND YOU WERE TEACHING  ""CONSTITUTIONAL' 'LAW' "" AT HARVARD? https://t.co/KOWe5eDioP",teach constitut law
1348,Harvard's comp-sci department should be demolished. https://t.co/Pyy4w6ILQA,comp sci depart demolish
1349,Our DASH webinar is starting now! It's not too late to join us. Register here and hop on: https://t.co/Y6QzqLF5gj,dash webinar start join regist hop
1350,"Germany closing bars and restaurants to keep schools open is ""smart"" according to a top Harvard epidemiologist. 
Regional mayors: ""Yeah but our town is different ..."" https://t.co/r1X3x6shhK",germani close bar restaur school open smart epidemiologist region mayor yeah town
1351,@hortzb @JAT_NATA @UNC @UPMCSportsMed @UMichConcussion @UofT @UW @harvardmed @Harvard @SportsMedBoston @MedicalCollege I agree! Hope to see you soon,agre
1352,"In honor of our paper almost being online in @JAT_NATA, here's our final network of the top-publishing institutions in #concussion from 2010-2019. @UNC @UPMCSportsMed @UMichConcussion @UofT @UW @harvardmed @Harvard @SportsMedBoston and @MedicalCollege were id'd as research hubs https://t.co/IqlEvUeYHr",honor paper onlin final network publish institut concuss hub
1353,"@janetfauret @afneil I dont think its incumbent on a whole community to apologise every time an act is carried out by a person who can only be tenuously linked to them. I dont ask the moderate norwegian right to distance themselves from breivik, or harvard mathematicians to comment on the unabomber",dont incumb communiti apologis time carri person tenuous link dont moder norwegian distanc breivik mathematician comment unabomb
1354,"Creative Commons is a non-profit organization developed by Harvard Law Professor Lawrence Lessig to make intellectual and creative work/s accessible for discovery &amp; reuse. Here's everything you need to know about them: https://t.co/LO15CINa1U

#research #phdchat #AcademicTwitter https://t.co/ScPfuwvhvH",creativ common profit organ develop law professor lawrenc lessig intellectu creativ work access discoveri reus phdchat academictwitt
1355,@CNN @MalcolmNance I’m not saying it’s not true. I see even though it’s an airline study the Harvard researchers say it didn’t impact their findings. It’s just interesting b/c people sometimes get sick when they travel. So I guess it’s unclean hands during those trips that’s the culprit.,true airlin studi impact peopl sick travel guess unclean hand trip culprit
1356,"who says I have a car at Harvard!

Malia: Dad? Is that bad, bc they dont",car malia dad bad dont
1357,"@naveen_zaidi Daniel Majchrowiz wrote his PhD dissertation on women’s travel writing in the late 19th century. He has at least an article out (“Malika Begum’s Mehfil”), while an edited collection and the book are forthcoming. You can probably access the diss’ via Harvard.",daniel majchrowiz wrote phd dissert women travel write centuri articl malika begum mehfil edit collect book forthcom access diss
1358,"Although this Harvard Business Review article is from seven years ago, it is worth reading again as it contains a lot of value that is definitely applicable in today's business climate.

#businessvalue https://t.co/u1R2I5YMJB",busi review articl year ago worth read lot applic today busi climat businessvalu
1359,Harvard Researchers Find Out Indoor Dining is Riskier Than Flying at Getting COVID-19 https://t.co/zIiT48skB2 https://t.co/cVORiyjfKg,indoor dine riskier fli
1360,"Experts examine post-election foreign policy, intelligence, defense https://t.co/C0dG0BSHuE via @Harvard",expert examin post elect foreign polici intellig defens
1361,@TimVertzWI @SenChrisLarson @GovEvers Fucking Harvard grad telling me how restaurant economics work give me a fucking break,fuck grad restaur econom work fuck break
1362,"Flying can be safer than grocery shopping, Harvard study asserts https://t.co/zbBPyK0QSF via @CNNTravel",fli safer groceri shop studi assert
1363,Does Harvard want a little 100 year reunion next season? https://t.co/Cc3SRvgjPE,year reunion season
1364,"As a cousin of mine, a Harvard MBA and die hard republican, said after voting for Jon @ossoff, Purdue is a ""sleazy putz."" https://t.co/YzpgmWfVMs",cousin mba die republican vote jon purdu sleazi putz
1365,"@GovWhitmer But it will all go away if we vote Biden..right!?!
😂 so sick of this shit
We need more people that arent in politics to run this country. Stick all the lawmen and politicians at Harvard and let them play their games there amongst each other. Leave us alone!",vote biden sick shit peopl polit countri stick lawmen politician play game leav
1366,"Much to critique in NYT puff piece on SRM. No discussion so far of yet another tech billionaire driving SRM research: Chris Sacca, venture capitalist and fmr Google lawyer (also funds SRM research at Harvard). Billionaire/tech interests ≠ climate justice https://t.co/Wt54MtwkmA",critiqu nyt puff piec srm discuss tech billionair drive srm chris sacca ventur capitalist fmr googl lawyer fund srm billionair tech climat justic
1367,"@CNN “It was funded by airlines, airplane manufacturers and airports, but the Harvard researchers insist this did not impact their findings.”  Any person with any knowledge of research, knows findings for the one funding the research is suspect.",fund airlin airplan manufactur airport insist impact person knowledg fund suspect
1368,I met my pen pal on her 19th bday. She’s 34 now &amp; a Harvard professor. Wowwww,met pen pal bday professor
1369,"Coachington, pop. 7,909. Surrounded by towering peaks. A town once famous for its subterranean nuclear shelters. The bandstand still sits on the corner of 4th and Harvard, hoping for sunshine.",coachington pop surround tower peak town famous subterranean nuclear shelter bandstand sit corner sunshin
1370,"Read our new article on Alexandra's experience with the @Bergamo2035 project!
Discover more about this extremely interesting #multidisciplinary and #international project involving Università degli Studi di Bergamo and Harvard Graduate School of Design! https://t.co/0mrv8xrGPO",read articl alexandra experi project discov extrem multidisciplinari intern project involv universita deg studi bergamo hgsas design
1371,"@yyu00016 @PDChina LOL Harvard study ?? I’m from the midwest, nobody respects Harvard and it’s well known Harvard is heavily bribed and infiltrated by the CCP. It’s a malignant institution",lol studi midwest heavili bribe infiltr ccp malign institut
1372,"Which Matters More: Hiring Superstars, or Removing Toxic Employees? Harvard Research Reveals the Surprising Answer | https://t.co/Hw5NQQHnoF https://t.co/Jzy3A0YGzo",matter hire superstar remov toxic employe reveal surpris answer
1373,"@PROFOGAR @Gidi_Traffic @gidifeedtv Bok's Law: If you think education is expensive — try ignorance. — Derek Bok, president of Harvard University. If you think education is expensive, try ignorance.May 3, 2016",bok law educ expens derek bok presid educ expens
1374,"Catholic Harvard Navy

hmmmmm uh hmmmmm

not Cuba Dallas Russia England France Marxism 

How bout that shit

Eternal flame",cathol navi hmmmmm hmmmmm cuba dalla russia england franc marxism bout shit etern flame
1375,New York planned and executed a war hero husband father Harvard graduate and a president of the United States of America 🇺🇸,york plan execut war hero husband father graduat presid unit state america
1376,Just posted a photo @ Harvard University https://t.co/mXOV7387Kq,post photo
1377,"Which Matters More: Hiring Superstars, or Removing Toxic Employees? Harvard Research Reveals the Surprising Answer https://t.co/OD4XAFXAgN",matter hire superstar remov toxic employe reveal surpris answer
1378,How Science and Genetics are Reshaping the Race Debate of the 21st Century   https://t.co/YXLQV0uOHm,scienc genet reshap race debat centuri
1379,"🚦The pandemic of dishonesty: Intellectual probity is quasi inexistent with the presstitutes, academic misrepresentation for hire, corrupt politicians etc.... 

Flying is safer than ‘grocery shopping’, says Harvard report https://t.co/LfYAdG4JX5",pandem dishonesti intellectu probiti quasi inexist presstitut academ misrepresent hire corrupt politician fli safer groceri shop report
1380,"@jessenleon @Harvard Thanks for sharing this! It’s great that there is so much free, excellent material online these days for learning data science, and I am glad to be able to contribute to that",share great free excel materi onlin day learn data scienc glad contribut
1381,"Here at Harvard Culinary, we enjoy looking at feet while we cook. It typically increases performance of our students by 15%. If anyone is willing to come and show their bare feet to our students, you will be compensated as needed.",culinari enjoy feet cook typic increas perform student bare feet student compens
1382,@BernieSanders So sad. He was such an upstanding citizen. Contributing so much to society. Heard he wanted to attend Harvard next year.,sad upstand citizen contribut societi heard attend year
1383,"Doctor Gregory Norris of Harvard University, first coined the term “handprint” in 2012 to describe the positive environmental effect of products, but how do you calculate the positive impact of switching from a fossil-based fuel to a renewable one?",doctor gregori norri coin term handprint posit environment product calcul posit impact switch fossil base fuel renew
1384,"""Ventilation effectively counters the proximity travelers are subject to during flights."" https://t.co/phqrNDt2sq https://t.co/jwIPIVd7xu",ventil counter proxim travel subject flight
1385,"Call for Submissions (Online) by Harvard Human Rights Journal; Submissions on a Rolling Basis
https://t.co/2nlla2sid5",submiss onlin human journal submiss roll basi
1386,Thanks for the like @BillieJeanKing cc @JoeSquawk @cnbc @jimcramer @larry_kudlow @LHSummers @penn @wharton @harvard @PennClub @PennClubofDC @realDonaldTrump @WhiteHouse @business @jasonkellynews @DavidWestin @mike2020 @MikeBloomberg @ksheekey @AMD @LisaSu @IvankaTrump @vp @potus,
1387,"@RMFT8011 I guess at Harvard American Studies, the entire dissertation process was one long defense lol...

We ""defend"" it in that final meeting, just not in front of a big audience as I've seen in other programs and at other schools.",guess american studi dissert process long defens lol defend final meet big audienc program school
1388,@zxedx Harvard ass words 😭 i dnt understand,ass dnt understand
1389,@emflairchild I'm not trolling you. I'm explaining how the flu shot actually works &amp; backed by Harvard university.,troll explain flu shot work
1390,"@emflairchild Yes their responsibility for getting the flu shot. You personally get it will not help the at risk age. That's their responsibility. If you're going to get the flu you're going to get it. It does not prevent you from getting the flu.
https://t.co/vL2Bue3ouT",respons flu shot person risk age respons flu prevent flu
1391,"As an alumnus of Harvard, I join other Harvard's alumni to congratulate our very own.🤗😁

Dr.Ngozi is one hell of a woman. She keeps breaking stereotypes. Congratulations ma'am. https://t.co/JDtBuC8AO7",alumnus join alumni congratul ngozi hell woman break stereotyp congratul ma'am
1392,@__mcsteph__ E go shock you when Harvard give me admission🤣🤣,shock admiss
1393,@mattplatkin Im waiting for Harvard to rescind their law degrees 🙄,wait rescind law degre
1394,"A pioneer who served underserved communities and said that at home, “I delegated everything I could.""
Raquel Eidelman Cohen, last of Harvard Medical School’s first women graduates, dies at 98 https://t.co/TVEvpSld0R via @BostonGlobe",pioneer serv underserv communiti deleg raquel eidelman cohen hms medic women graduat die
1395,"Leadership is about making others better as a result of your presence and making sure that impact lasts in your absence.""
(Harvard Business School definition of leadership)
- Sheryl Sandberg, Lean In",leadership presenc impact absenc hbs busi leadership sheryl sandberg lean
1396,@shawn_eagle @JAT_NATA @UNC @UPMCSportsMed @UMichConcussion @UofT @UW @harvardmed @Harvard @SportsMedBoston @MedicalCollege Love this! Would also like to see something like this that maps out the most common concussion research pub concepts in 5 year chunks to show where things started versus where we are now.,love map common concuss pub concept year chunk thing start versus
1397,@jonfavs He is either Yale or Harvard educated and a lawyer how does your educational history compare @jonfavs ?,yale educ lawyer educ histori compar
1398,"OTD | C6H0

It's been exactly 99 years since @CentreFootball defeated Harvard, 6-0, in a game that has been recognized as one of the biggest @NCAAFootball upsets ever by @espn, @nytimes and @AP! #GoldRush https://t.co/7WZuMkFWme",otd year defeat game recogn biggest upset goldrush
